REF_AREA,MEASURE_PRINCIPLE,COUNTERPART_AREA,TIME_PERIOD,OBS_VALUE
NLD,DI,JPN,2021,8417.692
NLD,DO,JPN,2021,1410.833
NLD,DI,JPN,2022,6813.545
NLD,DO,JPN,2022,845.515
NLD,DO,JPN,2023,871.54
NLD,DI,JPN,2023,5578.503
NLD,DI,LUX,2015,13709.373
NLD,DO,LUX,2015,5114.809
NLD,DO,LUX,2016,2172.951
NLD,DI,LUX,2016,32191.751
NLD,DO,LUX,2017,9210.912
NLD,DI,LUX,2017,6596.776
NLD,DO,LUX,2018,4491.915
NLD,DI,LUX,2018,8810.339
NLD,DO,LUX,2019,5581.552
NLD,DI,LUX,2019,18463.002
NLD,DI,LUX,2020,19288.889
NLD,DO,LUX,2020,1113.39
NLD,DI,LUX,2021,17954.115
NLD,DO,LUX,2021,7452.696
NLD,DI,LUX,2022,24626.144
NLD,DO,LUX,2022,4184.457
NLD,DI,LUX,2023,14963.235
NLD,DO,LUX,2023,3889.49
NLD,DI,NLD,2015,0
NLD,DO,NLD,2015,0
NLD,DI,NLD,2016,0
NLD,DO,NLD,2016,0
NLD,DI,NLD,2017,0
NLD,DO,NLD,2017,0
NLD,DI,NLD,2018,0
NLD,DO,NLD,2018,0
NLD,DI,NLD,2019,0
NLD,DO,NLD,2019,0
NLD,DI,NLD,2020,0
NLD,DO,NLD,2020,0
NLD,DI,NLD,2021,0
NLD,DO,NLD,2021,0
NLD,DI,NLD,2022,0
NLD,DO,NLD,2022,0
NLD,DO,NLD,2023,0
NLD,DI,NLD,2023,0
NLD,DI,USA,2015,21729.34
NLD,DO,USA,2015,9148.087
NLD,DI,USA,2016,8409.82
NLD,DO,USA,2016,3932.323
NLD,DO,USA,2017,6413.031
NLD,DI,USA,2017,6548.303
NLD,DO,USA,2018,13408.474
NLD,DI,USA,2018,9301.31
NLD,DI,USA,2019,
NLD,DO,USA,2019,
NLD,DI,USA,2020,
NLD,DO,USA,2020,
NLD,DO,USA,2021,20953.169
NLD,DI,USA,2021,19293.992
NLD,DI,USA,2022,
NLD,DO,USA,2022,
NLD,DO,USA,2023,
NLD,DI,USA,2023,
USA,DI,IRL,2015,9772
USA,DO,IRL,2015,56589
USA,DI,IRL,2016,7153
USA,DO,IRL,2016,54310
USA,DI,IRL,2017,9677
USA,DO,IRL,2017,62276
USA,DI,IRL,2018,9023
USA,DO,IRL,2018,58430
USA,DO,IRL,2019,63663
USA,DI,IRL,2019,7899
USA,DO,IRL,2020,54641
USA,DI,IRL,2020,7646
USA,DO,IRL,2021,68193
USA,DI,IRL,2021,12305
USA,DO,IRL,2022,76355
USA,DI,IRL,2022,7341
USA,DI,IRL,2023,18407
USA,DO,IRL,2023,84456
USA,DI,JPN,2015,17789
USA,DO,JPN,2015,12365
USA,DO,JPN,2016,12872
USA,DI,JPN,2016,18107
USA,DI,JPN,2017,27183
USA,DO,JPN,2017,12456
USA,DI,JPN,2018,26215
USA,DO,JPN,2018,12633
USA,DI,JPN,2019,27257
USA,DO,JPN,2019,12260
USA,DI,JPN,2020,21458
USA,DO,JPN,2020,13944
USA,DO,JPN,2021,13151
USA,DI,JPN,2021,38563
USA,DI,JPN,2022,34844
USA,DO,JPN,2022,11329
USA,DI,JPN,2023,35575
USA,DO,JPN,2023,13544
USA,DI,LUX,2015,8264
USA,DO,LUX,2015,28340
USA,DI,LUX,2016,11347
USA,DO,LUX,2016,35403
USA,DI,LUX,2017,15698
USA,DO,LUX,2017,42422
USA,DI,LUX,2018,16539
USA,DO,LUX,2018,41494
USA,DI,LUX,2019,12998
USA,DO,LUX,2019,38686
USA,DI,LUX,2020,9794
USA,DO,LUX,2020,37629
USA,DI,LUX,2021,14202
USA,DO,LUX,2021,37308
USA,DI,LUX,2022,9240
USA,DO,LUX,2022,31316
USA,DI,LUX,2023,10031
USA,DO,LUX,2023,35089
USA,DO,NLD,2015,70573
USA,DI,NLD,2015,16069
USA,DO,NLD,2016,70098
USA,DI,NLD,2016,11849
USA,DO,NLD,2017,79489
USA,DI,NLD,2017,13503
USA,DO,NLD,2018,83119
USA,DI,NLD,2018,20721
USA,DO,NLD,2019,84379
USA,DI,NLD,2019,22902
USA,DO,NLD,2020,68969
USA,DI,NLD,2020,13610
USA,DO,NLD,2021,86378
USA,DI,NLD,2021,36323
USA,DO,NLD,2022,74400
USA,DI,NLD,2022,29225
USA,DO,NLD,2023,72021
USA,DI,NLD,2023,32373
USA,DO,USA,2015,0
USA,DI,USA,2015,0
USA,DI,USA,2016,0
USA,DO,USA,2016,0
USA,DI,USA,2017,0
USA,DO,USA,2017,0
USA,DI,USA,2018,0
USA,DO,USA,2018,0
USA,DI,USA,2019,0
USA,DO,USA,2019,0
USA,DI,USA,2020,0
USA,DO,USA,2020,0
USA,DI,USA,2021,0
USA,DO,USA,2021,0
USA,DI,USA,2022,0
USA,DO,USA,2022,0
USA,DI,USA,2023,0
USA,DO,USA,2023,0
