"TIME_PERIOD","REF_AREA","MEASURE","SECTOR","STANDARD_REVENUE","CTRY_SPECIFIC_REVENUE","UNIT_MEASURE","FREQ","obsValue","UNIT_MULT","REVENUE_CODE","DECIMALS","CURRENCY","OBS_STATUS"
"2018","CHE","TAX_REV","S13","T_1200","_T","USD","A",22.410575,"6","1200","0","_Z","A"
"2017","CHE","TAX_REV","S13","T_1200","_T","USD","A",20.727684,"6","1200","0","_Z","A"
"2016","CHL","TAX_REV","S13","T_1210","_T","USD","A",NA,"9","1210","0","_Z","A"
"2023","CHL","TAX_REV","S13","T_1210","_T","USD","A",NA,"9","1210","0","_Z","A"
"2022","CHL","TAX_REV","S13","T_1210","_T","USD","A",NA,"9","1210","0","_Z","A"
"2021","CHL","TAX_REV","S13","T_1210","_T","USD","A",NA,"9","1210","0","_Z","A"
"2020","CHL","TAX_REV","S13","T_1210","_T","USD","A",NA,"9","1210","0","_Z","A"
"2019","CHL","TAX_REV","S13","T_1210","_T","USD","A",NA,"9","1210","0","_Z","A"
"2018","CHL","TAX_REV","S13","T_1210","_T","USD","A",NA,"9","1210","0","_Z","A"
"2016","LUX","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2023","LUX","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2022","LUX","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2021","LUX","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2020","LUX","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2019","LUX","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2018","LUX","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2016","KOR","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2023","KOR","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2022","KOR","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2021","KOR","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2020","KOR","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2019","KOR","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2018","KOR","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2023","IRL","TAX_REV","S13","T_1200","_T","USD","A",26.155762,"9","1200","0","_Z","A"
"2022","IRL","TAX_REV","S13","T_1200","_T","USD","A",23.847662,"9","1200","0","_Z","A"
"2021","IRL","TAX_REV","S13","T_1200","_T","USD","A",18.124608,"9","1200","0","_Z","A"
"2020","IRL","TAX_REV","S13","T_1200","_T","USD","A",13.653598,"9","1200","0","_Z","A"
"2019","IRL","TAX_REV","S13","T_1200","_T","USD","A",12.189626,"9","1200","0","_Z","A"
"2018","IRL","TAX_REV","S13","T_1200","_T","USD","A",12.267354,"9","1200","0","_Z","A"
"2017","IRL","TAX_REV","S13","T_1200","_T","USD","A",9.266321,"9","1200","0","_Z","A"
"2023","CHE","TAX_REV","S13","T_1210","_T","USD","A",28.551682,"6","1210","0","_Z","A"
"2022","CHE","TAX_REV","S13","T_1210","_T","USD","A",26.178958,"6","1210","0","_Z","A"
"2021","CHE","TAX_REV","S13","T_1210","_T","USD","A",24.924002,"6","1210","0","_Z","A"
"2020","CHE","TAX_REV","S13","T_1210","_T","USD","A",22.78901,"6","1210","0","_Z","A"
"2019","CHE","TAX_REV","S13","T_1210","_T","USD","A",22.331608,"6","1210","0","_Z","A"
"2018","CHE","TAX_REV","S13","T_1210","_T","USD","A",22.410575,"6","1210","0","_Z","A"
"2017","CHE","TAX_REV","S13","T_1210","_T","USD","A",20.727684,"6","1210","0","_Z","A"
"2022","SWE","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2021","SWE","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2020","SWE","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2019","SWE","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2018","SWE","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2017","SWE","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2016","SWE","TAX_REV","S13","T_1220","_T","USD","A",0,"9","1220","0","_Z","A"
"2023","CHL","TAX_REV","S13","T_1200","_T","USD","A",17.507085,"9","1200","0","_Z","A"
"2022","CHL","TAX_REV","S13","T_1200","_T","USD","A",17.062094,"9","1200","0","_Z","A"
