"TIME_PERIOD","FREQ","REF_AREA","SECTOR","COUNTERPART_SECTOR","ACCOUNTING_ENTRY","TRANSACTION","INSTR_ASSET","EXPENDITURE","UNIT_MEASURE","VALUATION","PRICE_BASE","TRANSFORMATION","TABLE_IDENTIFIER","obsValue","COUNTERPART_AREA","CONSOLIDATION","DECIMALS","UNIT_MULT","CURRENCY","CONF_STATUS","OBS_STATUS"
"2019","A","AUS","S1","S1","D","B2G","_Z","_Z","XDC","S","V","N","T0800",722953,"W","_Z","2","6","AUD","F","A"
"2018","A","AUS","S1","S1","D","B2G","_Z","_Z","XDC","S","V","N","T0800",677937,"W","_Z","2","6","AUD","F","A"
"2017","A","AUS","S1","S1","D","B2G","_Z","_Z","XDC","S","V","N","T0800",623793,"W","_Z","2","6","AUD","F","A"
"2016","A","AUS","S1","S1","D","B2G","_Z","_Z","XDC","S","V","N","T0800",589878,"W","_Z","2","6","AUD","F","A"
"2022","A","AUS","S11","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",6972,"W","N","2","6","AUD","F","A"
"2021","A","AUS","S11","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",6761,"W","N","2","6","AUD","F","A"
"2020","A","AUS","S11","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",6164,"W","N","2","6","AUD","F","A"
"2019","A","AUS","S11","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",5055,"W","N","2","6","AUD","F","A"
"2018","A","AUS","S11","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",4827,"W","N","2","6","AUD","F","A"
"2017","A","AUS","S11","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",4375,"W","N","2","6","AUD","F","A"
"2016","A","AUS","S11","S1","C","D7","_Z","_Z","XDC","S","V","N","T0800",4262,"W","N","2","6","AUD","F","A"
"2021","A","AUS","S1","S1","C","B1G","_Z","_Z","XDC","S","V","N","T0800",2330329,"W","_Z","2","6","AUD","F","A"
"2020","A","AUS","S1","S1","C","B1G","_Z","_Z","XDC","S","V","N","T0800",2085822,"W","_Z","2","6","AUD","F","A"
