REF_AREA,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,Multiplicateur d'unité,REVENUE_CODE
KGZ,USD,2019,92.646,Millions,1200
KGZ,USD,2020,108.196,Millions,1200
KGZ,USD,2021,160.81,Millions,1200
KGZ,USD,2022,303.016,Millions,1200
LTU,USD,2016,0.695,Billions,1200
LTU,USD,2017,0.713,Billions,1200
LTU,USD,2018,0.816,Billions,1200
LTU,USD,2019,0.85,Billions,1200
LTU,USD,2020,0.942,Billions,1200
LTU,USD,2021,1.373,Billions,1200
LTU,USD,2022,1.656,Billions,1200
BRB,USD,2016,124.124,Millions,1200
BRB,USD,2017,137.55,Millions,1200
BRB,USD,2018,177.749,Millions,1200
BRB,USD,2019,154.5,Millions,1200
BRB,USD,2020,306.45,Millions,1200
BRB,USD,2021,225.25,Millions,1200
BRB,USD,2022,274.4,Millions,1200
ITA,USD,2016,40.064,Billions,1200
ITA,USD,2017,40.785,Billions,1200
ITA,USD,2018,38.896,Billions,1200
ITA,USD,2019,39.379,Billions,1200
ITA,USD,2020,39.023,Billions,1200
ITA,USD,2021,40.642,Billions,1200
ITA,USD,2022,59.307,Billions,1200
CAN,USD,2016,57.582,Billions,1200
CAN,USD,2017,64.155,Billions,1200
CAN,USD,2018,70.501,Billions,1200
CAN,USD,2019,65.281,Billions,1200
CAN,USD,2020,68.696,Billions,1200
CAN,USD,2021,98.355,Billions,1200
CAN,USD,2022,101.442,Billions,1200
ROU,USD,2016,4184.98,Millions,1200
ROU,USD,2017,4247.288,Millions,1200
ROU,USD,2018,4990.515,Millions,1200
ROU,USD,2019,5240.914,Millions,1200
ROU,USD,2020,4705.075,Millions,1200
ROU,USD,2021,6319.415,Millions,1200
ROU,USD,2022,9158.202,Millions,1200
KAZ,USD,2016,5607.856,Millions,1200
KAZ,USD,2017,7296.596,Millions,1200
KAZ,USD,2018,9092.296,Millions,1200
KAZ,USD,2019,8694.85,Millions,1200
KAZ,USD,2020,6224.8,Millions,1200
KAZ,USD,2021,9009.079,Millions,1200
KAZ,USD,2022,13761.555,Millions,1200
CHE,USD,2016,21.002,Billions,1200
CHE,USD,2017,20.728,Billions,1200
CHE,USD,2018,22.411,Billions,1200
CHE,USD,2019,22.332,Billions,1200
CHE,USD,2020,22.789,Billions,1200
CHE,USD,2021,24.924,Billions,1200
CHE,USD,2022,26.179,Billions,1200
